,KERTAS KERJA MV_TS_Modifikasi Status Rack In PMT EGA / VD4,,,,,,,EGA,,,TOTAL,PIC UPT koordinasi dengan ULTG,,,73,"102,82%"
,,,,,,,,71,,,71,,,,16,"22,54%"
NO,UPT,ULTG,NAMA GI,BAY,TEG_OPRS,PHASA,TGL_OPRS,THN_BUAT,BUATAN,MERK,TIPE,Rencana tanggal ,Realisasi tanggal,LInk Laporan ,Status,Keterangan
1,UPT CAWANG,ULTG CAWANG,GI 150KV JATIRANGON,TRF#1 150/22kV (INC),20,RST,01/01/2017 0:00:00,2016,INDONESIA,EGA,CK-2000,09 Agu 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
2,UPT CAWANG,ULTG CAWANG,GIS 150KV CIPINANG,TRF#1 150/20kV (INC),20,RST,01/01/2023 0:00:00,2021,INDONESIA,EGA,CK-2000,07 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
3,UPT CAWANG,ULTG CAWANG,GIS 150KV CIPINANG,TRF#2 150/20kV (INC),20,RST,29/08/2021 0:00:00,2020,INDONESIA,EGA,CK-2000,15 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
4,UPT CAWANG,ULTG CAWANG,GIS 150KV CIPINANG,TRF#3 150/20kV (INC),20,RST,29/11/2021 0:00:00,2019,INDONESIA,EGA,CK-2000,15 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
5,UPT CAWANG,ULTG CAWANG,GIS 150KV PONDOK KELAPA,TRF#1 150/22kV (INC),20,RST,25/02/2020 0:00:00,2019,INDONESIA,EGA,CK-2000,19 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
6,UPT CAWANG,ULTG CAWANG,GIS 150KV PONDOK KELAPA,TRF#2 150/22kV (INC),20,RST,14/01/2020 0:00:00,2019,INDONESIA,EGA,CK-2000,19 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
7,UPT CAWANG,ULTG CAWANG,GIS 150KV PONDOK KELAPA,TRF#3 150/22kV (INC),20,RST,27/01/2020 0:00:00,2019,INDONESIA,EGA,CK-2000,03 Okt 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
8,UPT CAWANG,ULTG CAWANG,GIS 150KV SETIABUDI,TRF#1 150/20kV (INC),20,RST,16/12/2020 0:00:00,2018,INDONESIA,EGA,CK-2000,26 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
9,UPT CAWANG,ULTG CAWANG,GIS 150KV SETIABUDI,TRF#1 150/20kV (INC),20,RST,16/12/2020 0:00:00,2018,INDONESIA,EGA,CK-2000,26 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
10,UPT CAWANG,ULTG CAWANG,GIS 150KV SETIABUDI,TRF#3 150/22kV (INC),20,RST,26/08/2021 0:00:00,2018,INDONESIA,EGA,CK-2000,10 Okt 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
11,UPT CAWANG,ULTG CAWANG,GIS 150KV SETIABUDI,TRF#3 150/22kV (INC),20,RST,26/08/2021 0:00:00,2018,INDONESIA,EGA,CK-2000,10 Okt 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
12,UPT CAWANG,ULTG KARET,GI 150KV KARET LAMA,TRF#1 150/20kV (INC),20,RST,08/11/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,05 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,
13,UPT CAWANG,ULTG KARET,GI 150KV KARET LAMA,TRF#2 150/20kV (INC),20,RST,08/11/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,01 Sep 2026,09 Agu 2026,BA Pemasangan Indikasi Rack In dan Menonaktifkan Fungsi Trip PMT Invalid Pada Trafo 1 GI Jatirangon(2).pdf,Close,Har busbar 20kV
14,UPT CAWANG,ULTG KARET,GI 150KV KARET LAMA,TRF#3 150/22kV (INC),20,RST,14/12/2016 0:00:00,2016,INDONESIA,EGA,CK-2000,05 Sep 2026,,,Open,
15,UPT CAWANG,ULTG KARET,GIS 150KV GEDUNG POLA,TRF#1 150/22kV (INC),20,RST,01/01/2018 0:00:00,2016,INDONESIA,EGA,CK-2000,16 Sep 2026,,,Open,
16,UPT CAWANG,ULTG KARET,GIS 150KV GEDUNG POLA,TRF#2 150/22kV (INC),20,RST,01/01/2018 0:00:00,2016,INDONESIA,EGA,CK-2000,16 Sep 2026,,,Open,
17,UPT CAWANG,ULTG KARET,GIS 150KV GEDUNG POLA,TRF#3 150/20kV (INC),20,RST,01/01/2018 0:00:00,2016,INDONESIA,EGA,CK-2000,03 Sep 2026,,,Open,Har busbar 20kV
18,UPT CAWANG,ULTG KARET,GIS 150KV KEBON SIRIH,TRF#1 150/20kV (INC),20,RST,22/08/2020 0:00:00,2020,INDONESIA,EGA,CK-2000,10 Sep 2026,,,Open,Har busbar 20kV
19,UPT CAWANG,ULTG KARET,GIS 150KV KEBON SIRIH,TRF#3 150/20kV (INC),20,RST,22/08/2020 0:00:00,2020,INDONESIA,EGA,CK-2000,03 Okt 2026,,,Open,
20,UPT CAWANG,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#1 150/20kV (INC),20,RST,04/03/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,12 Sep 2026,,,Open,
21,UPT CAWANG,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#2 150/20kV (INC),20,RST,27/02/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,26 Sep 2026,,,Open,Har off
22,UPT CAWANG,ULTG MAMPANG,GIS 150KV DANAYASA,TRF#3 150/22kV (INC),20,RST,10/01/2019 0:00:00,2018,INDONESIA,EGA,CK-2000,05 Sep 2026,,,Open,Har busbar 20kV
23,UPT CAWANG,ULTG MAMPANG,GIS 150KV DURENTIGA,TRF#2 150/20kV (INC),20,RST,13/02/2020 0:00:00,2018,INDONESIA,EGA,CK-2000,27 Agu 2026,,,Open,Ganti rele sbef
24,UPT CAWANG,ULTG MAMPANG,GIS 150KV SENAYAN,TRF#3 150/22kV (INC),20,RST,22/10/2017 0:00:00,2016,INDONESIA,EGA,CK-2000,19 Sep 2026,,,Open,Har busbar 20kV
